Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/data,873,0,5,9.23193845686752,3.5323519987287,220.61874700011685,4787.680412371134,18.80418902185188,0.0,5,6,6,7,9,24,76,120,220,220,220
GET,GET /api/stats,252,0,7,11.31633295615699,4.833300998143386,199.7150499955751,231.0,5.428013325895388,0.0,7,7,8,9,11,18,71,180,200,200,200
GET,GET /health,296,0,2,3.521005169032661,1.24261699966155,62.05932200100506,51.0,6.375761684385059,0.0,2,2,2,2,4,10,32,44,62,62,62
POST,POST /api/data,1594,0,18,34.08366638131438,9.02773799316492,438.8269759947434,172.76411543287327,34.33433825983035,0.0,18,23,28,33,76,130,200,240,440,440,440
,Aggregated,3015,0,12,21.9843382818062,1.24261699966155,438.8269759947434,1501.9366500829187,64.94230229196268,0.0,12,17,20,23,44,91,160,210,320,440,440
